<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.01	00:00:00	1.08607	1.08639	1.08577	1.08606	377	0	9
2023.02.01	01:00:00	1.08606	1.08654	1.08591	1.08604	922	0	2
2023.02.01	02:00:00	1.08607	1.08642	1.08585	1.08624	1378	0	0
2023.02.01	03:00:00	1.08624	1.08637	1.08571	1.08573	1733	0	0
2023.02.01	04:00:00	1.08572	1.08572	1.08523	1.08538	1263	0	0
2023.02.01	05:00:00	1.08540	1.08628	1.08525	1.08628	867	0	0
2023.02.01	06:00:00	1.08627	1.08689	1.08626	1.08658	866	0	0
2023.02.01	07:00:00	1.08657	1.08749	1.08654	1.08717	790	0	0
2023.02.01	08:00:00	1.08717	1.08769	1.08658	1.08697	1448	0	0
2023.02.01	09:00:00	1.08697	1.08838	1.08667	1.08802	4274	0	0
2023.02.01	10:00:00	1.08802	1.08886	1.08697	1.08875	5108	0	0
2023.02.01	11:00:00	1.08876	1.08886	1.08786	1.08833	3924	0	0
2023.02.01	12:00:00	1.08825	1.08939	1.08792	1.08922	3755	0	0
2023.02.01	13:00:00	1.08923	1.08969	1.08886	1.08926	3175	0	0
2023.02.01	14:00:00	1.08926	1.08979	1.08881	1.08914	2993	0	0
2023.02.01	15:00:00	1.08917	1.09100	1.08882	1.09042	6056	0	0
2023.02.01	16:00:00	1.09041	1.09109	1.09011	1.09040	5195	0	0
2023.02.01	17:00:00	1.09046	1.09247	1.08877	1.09197	9928	0	0
2023.02.01	18:00:00	1.09197	1.09241	1.09143	1.09166	4660	0	0
2023.02.01	19:00:00	1.09166	1.09192	1.09048	1.09079	3565	0	0
2023.02.01	20:00:00	1.09080	1.09209	1.09062	1.09162	3558	0	0
2023.02.01	21:00:00	1.09057	1.09870	1.08885	1.09779	20734	0	0
2023.02.01	22:00:00	1.09781	1.10014	1.09695	1.09883	12595	0	0
2023.02.01	23:00:00	1.09882	1.09907	1.09833	1.09886	2484	0	0
2023.02.02	00:00:00	1.09870	1.09894	1.09838	1.09865	1017	0	18
2023.02.02	01:00:00	1.09865	1.10329	1.09850	1.10127	3868	0	1
2023.02.02	02:00:00	1.10127	1.10267	1.10104	1.10188	2827	0	0
2023.02.02	03:00:00	1.10190	1.10212	1.10064	1.10134	2996	0	0
2023.02.02	04:00:00	1.10131	1.10213	1.10120	1.10188	2589	0	1
2023.02.02	05:00:00	1.10188	1.10207	1.10147	1.10176	1646	0	0
2023.02.02	06:00:00	1.10173	1.10255	1.10158	1.10198	1429	0	0
2023.02.02	07:00:00	1.10197	1.10250	1.10192	1.10202	2136	0	0
2023.02.02	08:00:00	1.10201	1.10218	1.10045	1.10052	2523	0	0
2023.02.02	09:00:00	1.10057	1.10148	1.09913	1.09936	4654	0	0
2023.02.02	10:00:00	1.09936	1.10106	1.09915	1.10052	5618	0	0
2023.02.02	11:00:00	1.10052	1.10063	1.09888	1.09987	5151	0	0
2023.02.02	12:00:00	1.09987	1.10004	1.09806	1.09830	4427	0	0
2023.02.02	13:00:00	1.09830	1.10023	1.09822	1.09993	3817	0	0
2023.02.02	14:00:00	1.09993	1.10043	1.09825	1.09842	9389	0	0
2023.02.02	15:00:00	1.09842	1.10039	1.09438	1.09452	11969	0	0
2023.02.02	16:00:00	1.09452	1.09665	1.09048	1.09052	14419	0	0
2023.02.02	17:00:00	1.09051	1.09398	1.08853	1.09369	10832	0	0
2023.02.02	18:00:00	1.09366	1.09490	1.09072	1.09170	6638	0	0
2023.02.02	19:00:00	1.09171	1.09269	1.09057	1.09084	5168	0	0
2023.02.02	20:00:00	1.09089	1.09229	1.09079	1.09193	3697	0	0
2023.02.02	21:00:00	1.09193	1.09225	1.09053	1.09080	5647	0	0
2023.02.02	22:00:00	1.09081	1.09151	1.09055	1.09139	5680	0	0
2023.02.02	23:00:00	1.09139	1.09163	1.09081	1.09099	4179	0	0
2023.02.03	00:00:00	1.09081	1.09087	1.09058	1.09072	425	0	16
2023.02.03	01:00:00	1.09072	1.09115	1.09042	1.09047	1028	0	2
2023.02.03	02:00:00	1.09047	1.09052	1.08923	1.08974	2532	0	0
